Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"C1","22uF","C_1206_3216Metric",-124.145365,-110.926854,0.000000,bottom
"C2","22uF","C_1206_3216Metric",-124.095364,-113.576854,0.000000,bottom
"D1","1N4148W","D_SOD-123",-24.290253,-36.330532,-105.000000,bottom
"D2","1N4148W","D_SOD-123",-45.878088,-29.174017,-105.000000,bottom
"D3","1N4148W","D_SOD-123",-65.524770,-29.261951,-105.000000,bottom
"D4","1N4148W","D_SOD-123",-82.583268,-39.009139,-105.000000,bottom
"D5","1N4148W","D_SOD-123",-100.288807,-46.341517,-105.000000,bottom
"D6","1N4148W","D_SOD-123",-152.100198,-50.614311,-75.000000,bottom
"D7","1N4148W","D_SOD-123",-169.805747,-43.281936,-75.000000,bottom
"D8","1N4148W","D_SOD-123",-186.864235,-33.534746,-75.000000,bottom
"D9","1N4148W","D_SOD-123",-206.510918,-33.446811,-75.000000,bottom
"D10","1N4148W","D_SOD-123",-232.811728,-48.359991,15.000000,bottom
"D11","1N4148W","D_SOD-123",-19.372698,-54.683119,-105.000000,bottom
"D12","1N4148W","D_SOD-123",-40.960518,-47.526603,-105.000000,bottom
"D13","1N4148W","D_SOD-123",-60.607208,-47.614538,-105.000000,bottom
"D14","1N4148W","D_SOD-123",-77.665700,-57.361729,-105.000000,bottom
"D15","1N4148W","D_SOD-123",-95.371246,-64.694111,-105.000000,bottom
"D16","1N4148W","D_SOD-123",-157.017760,-68.966896,-75.000000,bottom
"D17","1N4148W","D_SOD-123",-181.069068,-69.310369,15.000000,bottom
"D18","1N4148W","D_SOD-123",-191.464490,-51.737091,-75.000000,bottom
"D19","1N4148W","D_SOD-123",-211.417273,-51.757578,-75.000000,bottom
"D20","1N4148W","D_SOD-123",-233.016307,-58.955912,-75.000000,bottom
"D21","1N4148W","D_SOD-123",-14.455131,-73.035706,-105.000000,bottom
"D22","1N4148W","D_SOD-123",-36.617666,-63.962124,-105.000000,bottom
"D23","1N4148W","D_SOD-123",-55.689648,-65.967138,-105.000000,bottom
"D24","1N4148W","D_SOD-123",-72.748141,-75.714324,-105.000000,bottom
"D25","1N4148W","D_SOD-123",-90.453691,-83.046700,-105.000000,bottom
"D26","1N4148W","D_SOD-123",-161.935318,-87.319489,-75.000000,bottom
"D27","1N4148W","D_SOD-123",-179.640862,-79.987114,-75.000000,bottom
"D28","1N4148W","D_SOD-123",-196.699360,-70.239922,-75.000000,bottom
"D29","1N4148W","D_SOD-123",-216.346046,-70.151989,-75.000000,bottom
"D30","1N4148W","D_SOD-123",-237.933868,-77.308497,-75.000000,bottom
"D31","1N4148W","D_SOD-123",-3.100008,-37.864793,-105.000000,bottom
"D32","1N4148W","D_SOD-123",-256.084178,-49.546274,-165.000000,bottom
"D33","1N4148W","D_SOD-123",-66.536486,-98.896544,-105.000000,bottom
"D34","1N4148W","D_SOD-123",-86.843780,-104.757428,-115.000000,bottom
"D35","1N4148W","D_SOD-123",-105.824825,-114.055595,-125.000000,bottom
"D36","1N4148W","D_SOD-123",-148.985946,-123.521894,-55.000000,bottom
"D37","1N4148W","D_SOD-123",-166.528922,-111.732908,-65.000000,bottom
"D38","1N4148W","D_SOD-123",-185.852519,-103.169337,-75.000000,bottom
"D39","1N4148W","D_SOD-123",1.679994,-55.984789,-105.000000,bottom
"D40","1N4148W","D_SOD-123",-261.054186,-67.866274,-165.000000,bottom
"D44","1N4148W","D_SOD-123",6.499986,-73.834783,-105.000000,bottom
"D51","1N4148W","D_SOD-123",-265.824182,-86.266268,-165.000000,bottom
"D81","1N4148W","D_SOD-123",-36.951693,-93.284294,-105.000000,bottom
"D82","1N4148W","D_SOD-123",-211.790482,-101.955144,-75.000000,bottom
"D87","1N4148W","D_SOD-123",-147.478254,-91.565083,90.000000,bottom
"J1","Pimoroni","pimoroni",-134.160846,-76.553492,-90.000000,bottom
"J2","Conn_01x03_Female","JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal",-234.344218,-92.347329,15.000000,bottom
"J3","Conn_01x12_Female","FPC-SMD_FPC05012-09200-.5mm-rev",-126.574252,-126.888663,-15.000000,bottom
"R1","4.7k","R_0805_2012Metric",-117.595363,-105.676857,0.000000,bottom
"R2","4.7k","R_0805_2012Metric",-117.595365,-107.826853,0.000000,bottom
"R4","10k","R_0805_2012Metric",-143.118255,-130.525088,180.000000,bottom
"SW41","SW_Push","SKQG-1155865",-143.068257,-126.385086,0.000000,bottom
"SW49","SW_DIP_x01","SW_CuK_OS102011MA1QN1_SPDT_Angled",-246.191172,-95.659326,-165.000000,bottom
"U2","NCP1117-12_SOT223","SOT-223-3_TabPin2",-133.445366,-113.226856,0.000000,bottom
